Participant ID,Timestamp-Pre,How old are you?,Gender?,What describes you the best?,How comfortable are you in expressing emotions?,"Have you ever played with the ""drummer bot"" dB before?","How much prior experience do you have with interactive musical interfaces (e.g. sensor systems, digital control devices)?","How often do you use AI tools for creativity (e.g., writing, coding, music, fine arts, food recipes, etc.)?",Please indicate if you have any of the following health problems.,Timestamp-During,Session ID (the last session that the participant has completed),I felt bored,I felt annoyed,I felt excited,I felt at ease,I felt satisfied,I felt curious,I felt stressed,I felt tired,Timestamp-Post,How coherent do you think the dB’s responses were to your input?,Who had the overall control of the interaction?,I found it engaging,dB can be frustrating,I got confused often,It was a creative experience,dB can be surprising,I would like to play more,"Please add if you have any comments, suggestions, or requests."
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:50:02 PM GMT+1,ILLIAC,1,2,3,1,2,3,2,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:54:41 PM GMT+1,CYSP,3,2,1,2,1,1,2,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:59:13 PM GMT+1,VOYAGER,4,2,1,1,1,1,1,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 6:05:35 PM GMT+1,ALICE,3,3,1,2,1,1,1,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:40:04 PM GMT+1,ALICE,4,4,0,1,0,1,2,0,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:45:24 PM GMT+1,CYSP,4,3,0,0,1,1,1,0,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:50:14 PM GMT+1,VOYAGER,4,4,0,0,0,2,2,2,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:56:05 PM GMT+1,ILLIAC,4,4,0,0,0,0,3,2,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:45:49 AM GMT+1,VOYAGER,3,2,0,1,1,3,3,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:51:08 AM GMT+1,ILLIAC,2,2,0,1,2,2,2,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:55:43 AM GMT+1,ALICE,2,1,1,0,1,2,1,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 12:02:30 PM GMT+1,CYSP,4,3,0,1,0,0,0,3,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-05,2024/11/06 12:16:11 PM GMT+1,24,Female,Avid music listener,2,No,1,3,,2024/11/06 12:21:35 PM GMT+1,ALICE,3,0,3,3,3,2,0,0,2024/11/06 12:35:07 PM GMT+1,1,1,3,4,3,3,4,1,"i got a bit bored after some time, and i got really confused as they were very different responses"
group21-11,2024/11/06 12:09:10 PM GMT+1,49,Male,Not particularly interested in music,2,No,0,3,,2024/11/06 12:22:41 PM GMT+1,CYSP,0,1,1,3,2,4,1,0,2024/11/06 12:47:10 PM GMT+1,2,1,3,3,0,3,3,2,
